"","N","trueP","bootstrap","halperin","halperin2","multinom"
"1",100,0.5,1.5461,0.0085,0.007,0.0018
"2",100,0.66,1.5099,0.007,0.0071,0.0018
"3",100,0.74,1.4939,0.0072,0.0071,0.0018
"4",200,0.5,1.4988,0.0085,0.007,0.0018
"5",200,0.66,1.4929,0.007,0.0071,0.0018
"6",200,0.74,1.5009,0.007,0.007,0.0018
"7",500,0.5,1.4914,0.0071,0.007,0.0018
"8",500,0.66,1.4976,0.007,0.0071,0.0018
"9",500,0.74,1.4984,0.007,0.0069,0.0018
