"","N","trueP","bootstrap","halperin","multinom"
"1",100,0.5,2.2098,0.0095,0.0035
"2",100,0.66,2.1985,0.0095,0.0034
"3",100,0.74,2.2014,0.0096,0.0034
"4",200,0.5,2.1885,0.0096,0.0035
"5",200,0.66,2.1966,0.0095,0.0035
"6",200,0.74,2.2006,0.0095,0.0035
"7",500,0.5,2.1946,0.0096,0.0036
"8",500,0.66,2.1998,0.0096,0.0035
"9",500,0.74,2.2168,0.0095,0.0034
